lancs.mobilemedia.core.ui.screens.PasswordScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PasswordScreen: void <init>(java.lang.String,int)>/@this	@ NewCompound1
lancs.mobilemedia.core.ui.screens.PasswordScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PasswordScreen: java.lang.String getPassword()>/@this	@ NewCompound1
lancs.mobilemedia.core.ui.screens.PasswordScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PasswordScreen: void setPassword(java.lang.String)>/@this	@ NewCompound1
lancs.mobilemedia.lib.exceptions.ImageNotFoundException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImageNotFoundException: void <init>()>/@this
lancs.mobilemedia.lib.exceptions.ImageNotFoundException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImageNotFoundException: void <init>(java.lang.String)>/@this
lancs.mobilemedia.lib.exceptions.ImageNotFoundException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImageNotFoundException: void <init>(java.lang.Throwable)>/@this
lancs.mobilemedia.lib.exceptions.ImageNotFoundException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImageNotFoundException: java.lang.Throwable getCause()>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void <init>()>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: java.lang.String[] getAlbumNames()>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: lancs.mobilemedia.core.ui.datamodel.MediaData[] getMedias(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void createNewAlbum(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addPassword(java.lang.String,java.lang.String)>/@this	@ NewCompound1
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: java.lang.String getPassword(java.lang.String)>/@this	@ NewCompound1
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void deleteAlbum(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addNewMediaToAlbum(java.lang.String,java.lang.String,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addMediaData(lancs.mobilemedia.core.ui.datamodel.MediaData,java.lang.String)>/@this	@ captureVideo
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void deleteMedia(java.lang.String,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void resetMediaData()>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: lancs.mobilemedia.core.ui.datamodel.MediaData getMediaInfo(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: lancs.mobilemedia.core.ui.datamodel.MediaData[] loadMediaDataFromRMS(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: boolean updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: byte[] loadMediaBytesFromRMS(java.lang.String,int)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addVideoData(java.lang.String,java.lang.String,byte[])>/@this	@ x_MusicOrVideo
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addImageData(java.lang.String,byte[],java.lang.String)>/@this	@ includeFavourites
lancs.mobilemedia.core.ui.controller.MusicPlayController::: (Mock)	<lancs.mobilemedia.core.ui.controller.MusicPlayController: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,javax.microedition.lcdui.List,lancs.mobilemedia.core.ui.screens.PlayMediaScreen)>/@this	@ (((x_NotPrivacy /\ x_NotPrivacy) \/ (x_NotPrivacy /\ (x_NotPrivacy /\ captureVideo))) /\ ((x_MusicOrVideo /\ x_MusicOrVideo) \/ (x_MusicOrVideo /\ (x_MusicOrVideo /\ captureVideo))))
lancs.mobilemedia.core.ui.controller.MusicPlayController::: (Mock)	<lancs.mobilemedia.core.ui.controller.MusicPlayController: boolean handleCommand(javax.microedition.lcdui.Command)>/@this	@ (((x_NotPrivacy /\ x_NotPrivacy) \/ (x_NotPrivacy /\ (x_NotPrivacy /\ captureVideo))) /\ ((x_MusicOrVideo /\ x_MusicOrVideo) \/ (x_MusicOrVideo /\ (x_MusicOrVideo /\ captureVideo))))
lancs.mobilemedia.core.ui.controller.MusicPlayController::: (Mock)	<lancs.mobilemedia.core.ui.controller.MusicPlayController: java.lang.String getMediaName()>/@this	@ (((x_NotPrivacy /\ x_NotPrivacy) \/ (x_NotPrivacy /\ (x_NotPrivacy /\ captureVideo))) /\ ((x_MusicOrVideo /\ x_MusicOrVideo) \/ (x_MusicOrVideo /\ (x_MusicOrVideo /\ captureVideo))))
lancs.mobilemedia.core.ui.controller.MusicPlayController::: (Mock)	<lancs.mobilemedia.core.ui.controller.MusicPlayController: void setMediaName(java.lang.String)>/@this	@ (((x_NotPrivacy /\ x_NotPrivacy) \/ (x_NotPrivacy /\ (x_NotPrivacy /\ captureVideo))) /\ ((x_MusicOrVideo /\ x_MusicOrVideo) \/ (x_MusicOrVideo /\ (x_MusicOrVideo /\ captureVideo))))
lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void <init>(java.lang.String,java.lang.String,java.lang.String)>/@this	@ x_MusicOrVideo
lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void loadAlbums()>/@this	@ x_MusicOrVideo
lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void addMediaData(java.lang.String,java.lang.String,java.lang.String)>/@this	@ x_MusicOrVideo
lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void addPassword(java.lang.String,java.lang.String)>/@this	@ ((((x_MusicOrVideo /\ x_MusicOrVideo) /\ x_MusicOrVideo) /\ (x_MusicOrVideo /\ x_MusicOrVideo)) /\ x_MusicOrVideo)
lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: java.lang.String getPassword(java.lang.String)>/@this	@ x_MusicOrVideo
