Graph$Comparator2	<Graph$Comparator2: int compare(java.lang.Object,java.lang.Object)>/Graph$Comparator2.compare/0	<Graph$Comparator2: int compare(Vertex,Vertex)>
Vertex	<Graph: void display()>/Vertex.display/0	<Vertex: void display()>
java.io.PrintStream	<Graph: void display()>/java.io.PrintStream.println/2	<java.io.PrintStream: void println(java.lang.String)>
java.io.PrintStream	<Graph: void display()>/java.io.PrintStream.println/3	<java.io.PrintStream: void println(java.lang.String)>
Graph	<Graph: void display()>/Graph.getEdges/0	<Graph: EdgeIter getEdges()>
Graph$EdgeIter1	<Graph: void display()>/EdgeIter.next/0	<Graph$EdgeIter1: EdgeIfc next()>
EdgeIter	<Graph: void display()>/EdgeIter.next/0	<EdgeIter: EdgeIfc next()>
Vertex$EdgeIter1	<Graph: void display()>/EdgeIter.next/0	<Vertex$EdgeIter1: EdgeIfc next()>
Vertex$EdgeIter2	<Graph: void display()>/EdgeIter.next/0	<Vertex$EdgeIter2: EdgeIfc next()>
Vertex$EdgeIter3	<Graph: void display()>/EdgeIter.next/0	<Vertex$EdgeIter3: EdgeIfc next()>
Edge	<Graph: void display()>/EdgeIfc.display/0	<Edge: void display()>
Neighbor	<Graph: void display()>/EdgeIfc.display/0	<Neighbor: void display()>
Vertex	<Graph: void display()>/EdgeIfc.display/0	<Vertex: void display()>
Graph$EdgeIter1	<Graph: void display()>/EdgeIter.hasNext/0	<Graph$EdgeIter1: boolean hasNext()>
EdgeIter	<Graph: void display()>/EdgeIter.hasNext/0	<EdgeIter: boolean hasNext()>
Vertex$EdgeIter1	<Graph: void display()>/EdgeIter.hasNext/0	<Vertex$EdgeIter1: boolean hasNext()>
Vertex$EdgeIter2	<Graph: void display()>/EdgeIter.hasNext/0	<Vertex$EdgeIter2: boolean hasNext()>
Vertex$EdgeIter3	<Graph: void display()>/EdgeIter.hasNext/0	<Vertex$EdgeIter3: boolean hasNext()>
java.io.PrintStream	<Graph: void display()>/java.io.PrintStream.println/4	<java.io.PrintStream: void println(java.lang.String)>
java.util.LinkedList	<Graph: void addVertex(Vertex)>/java.util.LinkedList.add/0	<java.util.LinkedList: boolean add(java.lang.Object)>
java.io.PrintStream	<Graph: void runBenchmark(java.lang.String)>/java.io.PrintStream.println/0	<java.io.PrintStream: void println(java.lang.String)>
java.io.Reader	<Graph: void stopBenchmark()>/java.io.Reader.close/0	<java.io.Reader: void close()>
java.io.PrintStream	<Graph: void endProfile()>/java.io.PrintStream.println/0	<java.io.PrintStream: void println(java.lang.String)>
Graph	<Graph: void run(Vertex)>/Graph.connectedComponents/0	<Graph: void connectedComponents()>
Graph	<Graph: void run(Vertex)>/Graph.cycleCheck/0	<Graph: boolean cycleCheck()>
java.io.PrintStream	<Graph: void run(Vertex)>/java.io.PrintStream.println/0	<java.io.PrintStream: void println(java.lang.String)>
Graph	<Graph: void run(Vertex)>/Graph.kruskal/0	<Graph: Graph kruskal()>
Graph	<Graph: void run(Vertex)>/Graph.display/0	<Graph: void display()>
Graph	<Graph: void run(Vertex)>/Graph.prim/0	<Graph: Graph prim(Vertex)>
Graph	<Graph: void run(Vertex)>/Graph.display/1	<Graph: void display()>
Graph	<Graph: void run(Vertex)>/Graph.numberVertices/0	<Graph: void numberVertices()>
Graph	<Graph: void run(Vertex)>/Graph.strongComponents/0	<Graph: Graph strongComponents()>
Graph	<Graph: void run(Vertex)>/Graph.display/2	<Graph: void display()>
Vertex	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/Vertex.getEdges/0	<Vertex: EdgeIter getEdges()>
Graph$EdgeIter1	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIter.next/0	<Graph$EdgeIter1: EdgeIfc next()>
EdgeIter	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIter.next/0	<EdgeIter: EdgeIfc next()>
Vertex$EdgeIter1	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIter.next/0	<Vertex$EdgeIter1: EdgeIfc next()>
Vertex$EdgeIter2	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIter.next/0	<Vertex$EdgeIter2: EdgeIfc next()>
Vertex$EdgeIter3	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIter.next/0	<Vertex$EdgeIter3: EdgeIfc next()>
Edge	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIfc.getOtherVertex/0	<Edge: Vertex getOtherVertex(Vertex)>
Neighbor	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIfc.getOtherVertex/0	<Neighbor: Vertex getOtherVertex(Vertex)>
Vertex	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIfc.getOtherVertex/0	<Vertex: Vertex getOtherVertex(Vertex)>
Vertex	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/Vertex.getName/0	<Vertex: java.lang.String getName()>
Vertex	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/Vertex.getName/1	<Vertex: java.lang.String getName()>
Vertex	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/Vertex.getName/2	<Vertex: java.lang.String getName()>
Vertex	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/Vertex.getName/3	<Vertex: java.lang.String getName()>
Vertex	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/Vertex.getName/4	<Vertex: java.lang.String getName()>
Vertex	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/Vertex.getName/5	<Vertex: java.lang.String getName()>
Vertex	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/Vertex.getName/6	<Vertex: java.lang.String getName()>
Vertex	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/Vertex.getName/7	<Vertex: java.lang.String getName()>
Graph$EdgeIter1	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIter.hasNext/0	<Graph$EdgeIter1: boolean hasNext()>
EdgeIter	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIter.hasNext/0	<EdgeIter: boolean hasNext()>
Vertex$EdgeIter1	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIter.hasNext/0	<Vertex$EdgeIter1: boolean hasNext()>
Vertex$EdgeIter2	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIter.hasNext/0	<Vertex$EdgeIter2: boolean hasNext()>
Vertex$EdgeIter3	<Graph: EdgeIfc findsEdge(Vertex,Vertex)>/EdgeIter.hasNext/0	<Vertex$EdgeIter3: boolean hasNext()>
Graph	<Graph: void graphSearch(WorkSpace)>/Graph.getVertices/0	<Graph: VertexIter getVertices()>
Vertex$VertexIter3	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/0	<Vertex$VertexIter3: boolean hasNext()>
Vertex$VertexIter2	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/0	<Vertex$VertexIter2: boolean hasNext()>
VertexIter	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/0	<VertexIter: boolean hasNext()>
Vertex$VertexIter1	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/0	<Vertex$VertexIter1: boolean hasNext()>
Vertex$VertexIter3	<Graph: void graphSearch(WorkSpace)>/VertexIter.next/0	<Vertex$VertexIter3: Vertex next()>
Vertex$VertexIter2	<Graph: void graphSearch(WorkSpace)>/VertexIter.next/0	<Vertex$VertexIter2: Vertex next()>
VertexIter	<Graph: void graphSearch(WorkSpace)>/VertexIter.next/0	<VertexIter: Vertex next()>
Vertex$VertexIter1	<Graph: void graphSearch(WorkSpace)>/VertexIter.next/0	<Vertex$VertexIter1: Vertex next()>
Vertex	<Graph: void graphSearch(WorkSpace)>/Vertex.init_vertex/0	<Vertex: void init_vertex(WorkSpace)>
Vertex$VertexIter3	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/1	<Vertex$VertexIter3: boolean hasNext()>
Vertex$VertexIter2	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/1	<Vertex$VertexIter2: boolean hasNext()>
VertexIter	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/1	<VertexIter: boolean hasNext()>
Vertex$VertexIter1	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/1	<Vertex$VertexIter1: boolean hasNext()>
Graph	<Graph: void graphSearch(WorkSpace)>/Graph.getVertices/1	<Graph: VertexIter getVertices()>
Vertex$VertexIter3	<Graph: void graphSearch(WorkSpace)>/VertexIter.next/1	<Vertex$VertexIter3: Vertex next()>
Vertex$VertexIter2	<Graph: void graphSearch(WorkSpace)>/VertexIter.next/1	<Vertex$VertexIter2: Vertex next()>
VertexIter	<Graph: void graphSearch(WorkSpace)>/VertexIter.next/1	<VertexIter: Vertex next()>
Vertex$VertexIter1	<Graph: void graphSearch(WorkSpace)>/VertexIter.next/1	<Vertex$VertexIter1: Vertex next()>
RegionWorkSpace	<Graph: void graphSearch(WorkSpace)>/WorkSpace.nextRegionAction/0	<RegionWorkSpace: void nextRegionAction(Vertex)>
FinishTimeWorkSpace	<Graph: void graphSearch(WorkSpace)>/WorkSpace.nextRegionAction/0	<WorkSpace: void nextRegionAction(Vertex)>
WorkSpaceTranspose	<Graph: void graphSearch(WorkSpace)>/WorkSpace.nextRegionAction/0	<WorkSpaceTranspose: void nextRegionAction(Vertex)>
CycleWorkSpace	<Graph: void graphSearch(WorkSpace)>/WorkSpace.nextRegionAction/0	<WorkSpace: void nextRegionAction(Vertex)>
NumberWorkSpace	<Graph: void graphSearch(WorkSpace)>/WorkSpace.nextRegionAction/0	<WorkSpace: void nextRegionAction(Vertex)>
WorkSpace	<Graph: void graphSearch(WorkSpace)>/WorkSpace.nextRegionAction/0	<WorkSpace: void nextRegionAction(Vertex)>
Vertex	<Graph: void graphSearch(WorkSpace)>/Vertex.nodeSearch/0	<Vertex: void nodeSearch(WorkSpace)>
Vertex$VertexIter3	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/2	<Vertex$VertexIter3: boolean hasNext()>
Vertex$VertexIter2	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/2	<Vertex$VertexIter2: boolean hasNext()>
VertexIter	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/2	<VertexIter: boolean hasNext()>
Vertex$VertexIter1	<Graph: void graphSearch(WorkSpace)>/VertexIter.hasNext/2	<Vertex$VertexIter1: boolean hasNext()>
Graph	<Graph: void numberVertices()>/Graph.graphSearch/0	<Graph: void graphSearch(WorkSpace)>
Graph	<Graph: void connectedComponents()>/Graph.graphSearch/0	<Graph: void graphSearch(WorkSpace)>
Graph	<Graph: Graph strongComponents()>/Graph.graphSearch/0	<Graph: void graphSearch(WorkSpace)>
Graph	<Graph: Graph strongComponents()>/Graph.sortVertices/0	<Graph: void sortVertices(java.util.Comparator)>
Graph	<Graph: Graph strongComponents()>/Graph.computeTranspose/0	<Graph: Graph computeTranspose(Graph)>
Graph	<Graph: Graph strongComponents()>/Graph.graphSearch/1	<Graph: void graphSearch(WorkSpace)>
Graph	<Graph: Graph computeTranspose(Graph)>/Graph.getVertices/0	<Graph: VertexIter getVertices()>
Vertex$VertexIter3	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/0	<Vertex$VertexIter3: Vertex next()>
Vertex$VertexIter2	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/0	<Vertex$VertexIter2: Vertex next()>
VertexIter	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/0	<VertexIter: Vertex next()>
Vertex$VertexIter1	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/0	<Vertex$VertexIter1: Vertex next()>
Vertex	<Graph: Graph computeTranspose(Graph)>/Vertex.getName/0	<Vertex: java.lang.String getName()>
Vertex	<Graph: Graph computeTranspose(Graph)>/Vertex.assignName/0	<Vertex: Vertex assignName(java.lang.String)>
Graph	<Graph: Graph computeTranspose(Graph)>/Graph.addVertex/0	<Graph: void addVertex(Vertex)>
Vertex$VertexIter3	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/0	<Vertex$VertexIter3: boolean hasNext()>
Vertex$VertexIter2	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/0	<Vertex$VertexIter2: boolean hasNext()>
VertexIter	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/0	<VertexIter: boolean hasNext()>
Vertex$VertexIter1	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/0	<Vertex$VertexIter1: boolean hasNext()>
Graph	<Graph: Graph computeTranspose(Graph)>/Graph.getVertices/1	<Graph: VertexIter getVertices()>
Graph	<Graph: Graph computeTranspose(Graph)>/Graph.getVertices/2	<Graph: VertexIter getVertices()>
Vertex$VertexIter3	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/1	<Vertex$VertexIter3: Vertex next()>
Vertex$VertexIter2	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/1	<Vertex$VertexIter2: Vertex next()>
VertexIter	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/1	<VertexIter: Vertex next()>
Vertex$VertexIter1	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/1	<Vertex$VertexIter1: Vertex next()>
Vertex$VertexIter3	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/2	<Vertex$VertexIter3: Vertex next()>
Vertex$VertexIter2	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/2	<Vertex$VertexIter2: Vertex next()>
VertexIter	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/2	<VertexIter: Vertex next()>
Vertex$VertexIter1	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/2	<Vertex$VertexIter1: Vertex next()>
Vertex	<Graph: Graph computeTranspose(Graph)>/Vertex.getNeighbors/0	<Vertex: VertexIter getNeighbors()>
Vertex$VertexIter3	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/3	<Vertex$VertexIter3: Vertex next()>
Vertex$VertexIter2	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/3	<Vertex$VertexIter2: Vertex next()>
VertexIter	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/3	<VertexIter: Vertex next()>
Vertex$VertexIter1	<Graph: Graph computeTranspose(Graph)>/VertexIter.next/3	<Vertex$VertexIter1: Vertex next()>
Vertex	<Graph: Graph computeTranspose(Graph)>/Vertex.getName/1	<Vertex: java.lang.String getName()>
Graph	<Graph: Graph computeTranspose(Graph)>/Graph.addEdge/0	<Graph: EdgeIfc addEdge(Vertex,Vertex,int)>
Vertex$VertexIter3	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/1	<Vertex$VertexIter3: boolean hasNext()>
Vertex$VertexIter2	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/1	<Vertex$VertexIter2: boolean hasNext()>
VertexIter	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/1	<VertexIter: boolean hasNext()>
Vertex$VertexIter1	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/1	<Vertex$VertexIter1: boolean hasNext()>
Vertex$VertexIter3	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/2	<Vertex$VertexIter3: boolean hasNext()>
Vertex$VertexIter2	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/2	<Vertex$VertexIter2: boolean hasNext()>
VertexIter	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/2	<VertexIter: boolean hasNext()>
Vertex$VertexIter1	<Graph: Graph computeTranspose(Graph)>/VertexIter.hasNext/2	<Vertex$VertexIter1: boolean hasNext()>
Graph	<Graph: boolean cycleCheck()>/Graph.graphSearch/0	<Graph: void graphSearch(WorkSpace)>
Graph	<Graph: Graph kruskal()>/Graph.getVertices/0	<Graph: VertexIter getVertices()>
Vertex$VertexIter3	<Graph: Graph kruskal()>/VertexIter.next/0	<Vertex$VertexIter3: Vertex next()>
Vertex$VertexIter2	<Graph: Graph kruskal()>/VertexIter.next/0	<Vertex$VertexIter2: Vertex next()>
VertexIter	<Graph: Graph kruskal()>/VertexIter.next/0	<VertexIter: Vertex next()>
Vertex$VertexIter1	<Graph: Graph kruskal()>/VertexIter.next/0	<Vertex$VertexIter1: Vertex next()>
Vertex$VertexIter3	<Graph: Graph kruskal()>/VertexIter.hasNext/0	<Vertex$VertexIter3: boolean hasNext()>
Vertex$VertexIter2	<Graph: Graph kruskal()>/VertexIter.hasNext/0	<Vertex$VertexIter2: boolean hasNext()>
VertexIter	<Graph: Graph kruskal()>/VertexIter.hasNext/0	<VertexIter: boolean hasNext()>
Vertex$VertexIter1	<Graph: Graph kruskal()>/VertexIter.hasNext/0	<Vertex$VertexIter1: boolean hasNext()>
Graph	<Graph: Graph kruskal()>/Graph.getEdges/0	<Graph: EdgeIter getEdges()>
Graph	<Graph: Graph kruskal()>/Graph.sortEdges/0	<Graph: void sortEdges(java.util.Comparator)>
Graph	<Graph: Graph kruskal()>/Graph.getEdges/1	<Graph: EdgeIter getEdges()>
Graph$EdgeIter1	<Graph: Graph kruskal()>/EdgeIter.next/0	<Graph$EdgeIter1: EdgeIfc next()>
EdgeIter	<Graph: Graph kruskal()>/EdgeIter.next/0	<EdgeIter: EdgeIfc next()>
Vertex$EdgeIter1	<Graph: Graph kruskal()>/EdgeIter.next/0	<Vertex$EdgeIter1: EdgeIfc next()>
Vertex$EdgeIter2	<Graph: Graph kruskal()>/EdgeIter.next/0	<Vertex$EdgeIter2: EdgeIfc next()>
Vertex$EdgeIter3	<Graph: Graph kruskal()>/EdgeIter.next/0	<Vertex$EdgeIter3: EdgeIfc next()>
Edge	<Graph: Graph kruskal()>/EdgeIfc.getStart/0	<Edge: Vertex getStart()>
Neighbor	<Graph: Graph kruskal()>/EdgeIfc.getStart/0	<Neighbor: Vertex getStart()>
Vertex	<Graph: Graph kruskal()>/EdgeIfc.getStart/0	<Vertex: Vertex getStart()>
Edge	<Graph: Graph kruskal()>/EdgeIfc.getEnd/0	<Edge: Vertex getEnd()>
Neighbor	<Graph: Graph kruskal()>/EdgeIfc.getEnd/0	<Neighbor: Vertex getEnd()>
Vertex	<Graph: Graph kruskal()>/EdgeIfc.getEnd/0	<Vertex: Vertex getEnd()>
Vertex	<Graph: Graph kruskal()>/Vertex.getName/0	<Vertex: java.lang.String getName()>
Vertex	<Graph: Graph kruskal()>/Vertex.getName/1	<Vertex: java.lang.String getName()>
java.util.LinkedList	<Graph: Graph kruskal()>/java.util.LinkedList.add/0	<java.util.LinkedList: boolean add(java.lang.Object)>
java.util.LinkedList	<Graph: Graph kruskal()>/java.util.LinkedList.add/1	<java.util.LinkedList: boolean add(java.lang.Object)>
java.util.LinkedList	<Graph: Graph kruskal()>/java.util.LinkedList.add/2	<java.util.LinkedList: boolean add(java.lang.Object)>
java.util.LinkedList	<Graph: Graph kruskal()>/java.util.LinkedList.add/3	<java.util.LinkedList: boolean add(java.lang.Object)>
java.util.LinkedList	<Graph: Graph kruskal()>/java.util.LinkedList.clear/0	<java.util.LinkedList: void clear()>
java.util.LinkedList	<Graph: Graph kruskal()>/java.util.LinkedList.add/4	<java.util.LinkedList: boolean add(java.lang.Object)>
java.util.LinkedList	<Graph: Graph kruskal()>/java.util.LinkedList.add/5	<java.util.LinkedList: boolean add(java.lang.Object)>
java.util.LinkedList	<Graph: Graph kruskal()>/java.util.LinkedList.add/6	<java.util.LinkedList: boolean add(java.lang.Object)>
java.util.LinkedList	<Graph: Graph kruskal()>/java.util.LinkedList.clear/1	<java.util.LinkedList: void clear()>
Graph$EdgeIter1	<Graph: Graph kruskal()>/EdgeIter.hasNext/0	<Graph$EdgeIter1: boolean hasNext()>
EdgeIter	<Graph: Graph kruskal()>/EdgeIter.hasNext/0	<EdgeIter: boolean hasNext()>
Vertex$EdgeIter1	<Graph: Graph kruskal()>/EdgeIter.hasNext/0	<Vertex$EdgeIter1: boolean hasNext()>
Vertex$EdgeIter2	<Graph: Graph kruskal()>/EdgeIter.hasNext/0	<Vertex$EdgeIter2: boolean hasNext()>
Vertex$EdgeIter3	<Graph: Graph kruskal()>/EdgeIter.hasNext/0	<Vertex$EdgeIter3: boolean hasNext()>
Graph	<Graph: Graph kruskal()>/Graph.getVertices/1	<Graph: VertexIter getVertices()>
Vertex$VertexIter3	<Graph: Graph kruskal()>/VertexIter.next/1	<Vertex$VertexIter3: Vertex next()>
Vertex$VertexIter2	<Graph: Graph kruskal()>/VertexIter.next/1	<Vertex$VertexIter2: Vertex next()>
VertexIter	<Graph: Graph kruskal()>/VertexIter.next/1	<VertexIter: Vertex next()>
Vertex$VertexIter1	<Graph: Graph kruskal()>/VertexIter.next/1	<Vertex$VertexIter1: Vertex next()>
Vertex	<Graph: Graph kruskal()>/Vertex.getName/2	<Vertex: java.lang.String getName()>
Vertex	<Graph: Graph kruskal()>/Vertex.assignName/0	<Vertex: Vertex assignName(java.lang.String)>
Graph	<Graph: Graph kruskal()>/Graph.addVertex/0	<Graph: void addVertex(Vertex)>
