<Main: void main(java.lang.String[])>	@ Prog
<Vertex$EdgeIter3: EdgeIfc next()>	@ (EdgeObjects /\ GEN_Edges)
<Vertex$EdgeIter3: boolean hasNext()>	@ (EdgeObjects /\ GEN_Edges)
<Vertex$EdgeIter2: EdgeIfc next()>	@ (EdgeObjects /\ GN_OnlyNeighbors)
<Vertex$EdgeIter2: boolean hasNext()>	@ (EdgeObjects /\ GN_OnlyNeighbors)
<NumberWorkSpace: void <init>()>
<NumberWorkSpace: void preVisitAction(Vertex)>
<Graph$Comparator2: int compare(Vertex,Vertex)>	@ MSTPrim
<Graph$Comparator2: int compare(java.lang.Object,java.lang.Object)>
<Vertex$EdgeIter1: EdgeIfc next()>	@ (EdgeObjects /\ G_NoEdges)
<Vertex$EdgeIter1: boolean hasNext()>	@ (EdgeObjects /\ G_NoEdges)
<FinishTimeWorkSpace: void <init>()>
<FinishTimeWorkSpace: void preVisitAction(Vertex)>	@ StronglyConnected
<FinishTimeWorkSpace: void postVisitAction(Vertex)>	@ StronglyConnected
<RegionWorkSpace: void <init>()>
<RegionWorkSpace: void init_vertex(Vertex)>	@ Connected
<RegionWorkSpace: void postVisitAction(Vertex)>	@ Connected
<RegionWorkSpace: void nextRegionAction(Vertex)>	@ Connected
<Edge: void <init>(Vertex,Vertex,int)>
<Edge: void adjustAdorns(EdgeIfc)>	@ EdgeObjects
<Edge: void setWeight(int)>	@ (EdgeObjects /\ Weighted)
<Edge: int getWeight()>	@ (EdgeObjects /\ Weighted)
<Edge: Vertex getOtherVertex(Vertex)>	@ EdgeObjects
<Edge: Vertex getStart()>	@ EdgeObjects
<Edge: Vertex getEnd()>	@ EdgeObjects
<Edge: void display()>	@ EdgeObjects
<Graph$Comparator1: int compare(Vertex,Vertex)>	@ StronglyConnected
<Graph$Comparator1: int compare(java.lang.Object,java.lang.Object)>
<Neighbor: void <init>()>
<Neighbor: void <init>(Vertex,int)>
<Neighbor: void display()>	@ GN_OnlyNeighbors
<Neighbor: Vertex getStart()>	@ GN_OnlyNeighbors
<Neighbor: Vertex getEnd()>	@ GN_OnlyNeighbors
<Neighbor: void setWeight(int)>	@ (Weighted /\ GN_OnlyNeighbors)
<Neighbor: int getWeight()>	@ (Weighted /\ GN_OnlyNeighbors)
<Neighbor: Vertex getOtherVertex(Vertex)>	@ GN_OnlyNeighbors
<Neighbor: void adjustAdorns(EdgeIfc)>	@ GN_OnlyNeighbors
<Neighbor: void <init>(Vertex,Edge)>
<GlobalVarsWrapper: void <clinit>()>	@ BFS
<Main: void readWeights(Graph,int)>	@ (((Prog /\ Prog) /\ Benchmark) /\ (Prog /\ Prog))
<Main: EdgeIfc addEdge(Graph,int)>	@ (((Prog /\ Prog) /\ Benchmark) /\ (Prog /\ Prog))
<Graph: void <init>()>	@ (((Prog /\ Prog) /\ Benchmark) /\ (Prog /\ Prog))
<Vertex: void <init>()>	@ (((Prog /\ Prog) /\ Benchmark) /\ (Prog /\ Prog))
<Graph: void addVertex(Vertex)>	@ ((Benchmark \/ (Benchmark /\ Benchmark)) /\ (((Benchmark \/ (Prog /\ Prog)) \/ Benchmark) \/ (Benchmark /\ Benchmark)))
<Graph: Vertex findsVertex(java.lang.String)>	@ ((Benchmark \/ (Benchmark /\ Benchmark)) /\ (((Benchmark \/ (Prog /\ Prog)) \/ Benchmark) \/ (Benchmark /\ Benchmark)))
<Graph: void display()>	@ ((Benchmark \/ (Benchmark /\ Benchmark)) /\ (((Benchmark \/ (Prog /\ Prog)) \/ Benchmark) \/ (Benchmark /\ Benchmark)))
<Vertex$VertexIter1: void <init>(Vertex,Vertex$VertexIter1)>	@ ((G_NoEdges /\ (G_NoEdges /\ G_NoEdges)) /\ (G_NoEdges /\ G_NoEdges))
<Vertex$EdgeIter1: void <init>(Vertex,Vertex$EdgeIter1)>	@ (((EdgeObjects /\ G_NoEdges) /\ ((EdgeObjects /\ G_NoEdges) /\ (EdgeObjects /\ G_NoEdges))) /\ ((EdgeObjects /\ G_NoEdges) /\ (EdgeObjects /\ G_NoEdges)))
<VertexIter: void <init>(Graph)>
<Graph$EdgeIter1: void <init>(Graph,Graph$EdgeIter1)>	@ EdgeObjects
<Graph$Comparator1: void <init>(Graph,Graph$Comparator1)>	@ StronglyConnected
<Graph$Comparator3: void <init>(Graph,Graph$Comparator3)>	@ MSTKruskal
<Graph$Comparator2: void <init>(Graph,Graph$Comparator2)>	@ MSTPrim
<Graph: EdgeIfc addEdge(Vertex,Vertex,int)>	@ (((EdgeObjects /\ G_NoEdges) \/ (EdgeObjects /\ EdgeObjects)) \/ MSTPrim)
<Vertex$VertexIter1: void <init>(Vertex)>	@ (((MSTKruskal /\ MSTKruskal) /\ MSTKruskal) /\ G_NoEdges)
<Vertex$EdgeIter1: void <init>(Vertex)>	@ ((((((MSTKruskal /\ MSTKruskal) \/ (MSTPrim /\ MSTPrim)) \/ (Connected /\ Connected)) \/ (StronglyConnected /\ StronglyConnected)) /\ EdgeObjects) /\ (EdgeObjects /\ G_NoEdges))
<Graph$EdgeIter1: void <init>(Graph)>	@ EdgeObjects
<Graph$Comparator1: void <init>(Graph)>	@ StronglyConnected
<Graph$Comparator3: void <init>(Graph)>	@ MSTKruskal
<Graph$Comparator2: void <init>(Graph)>	@ MSTPrim
<Graph: java.util.LinkedList access$0(Graph)>	@ EdgeObjects
<VertexIter: void <init>()>	@ (((MSTKruskal /\ MSTKruskal) /\ MSTKruskal) /\ G_NoEdges)
